"name","label","description","content","url","link","local","cats","analyse","text"
      [
        ""travaillant"",
        1
      ],
      [
        ""soci\u00e9t\u00e9"",
        1
      ],
      [
        ""notadill\u00e9"",
        1
      ],
      [
        ""project"",
        1
      ],
      [
        ""t\u00e9l\u00e9vision"",
        1
      ],
      [
        ""interactive"",
        1
      ],
      [
        ""msn"",
        1
      ],
      [
        ""syst\u00e8me"",
        1
      ],
      [
        ""exploitation"",
        1
      ],
      [
        ""adella"",
        1
      ],
      [
        ""chez"",
        1
      ],
      [
        ""nottemment"",
        1
      ],
      [
        ""senior"",
        1
      ],
      [
        ""d\u00e9partement"",
        1
      ],
      [
        ""recherche"",
        1
      ],
      [
        ""online"",
        1
      ],
      [
        ""tard"",
        1
      ],
      [
        ""nomm\u00e9"",
        1
      ],
      [
        ""servants"",
        1
      ],
      [
        ""odutils"",
        1
      ],
      [
        ""chiffre"",
        1
      ],
      [
        ""affaires"",
        1
      ],
      [
        ""manager"",
        1
      ],
      [
        ""transformation"",
        1
      ],
      [
        ""mod\u00e8le"",
        1
      ],
      [
        ""organisation"",
        1
      ],
      [
        ""ressources"",
        1
      ],
      [
        ""internnes"",
        1
      ],
      [
        ""client"",
        1
      ],
      [
        ""vers"",
        1
      ],
      [
        ""branches"",
        1
      ],
      [
        ""computing"",
        1
      ],
      [
        ""notmment"",
        1
      ],
      [
        ""artisan"",
        1
      ],
      [
        ""int\u00e9grazion"",
        1
      ],
      [
        ""sql"",
        1
      ],
      [
        ""autour"",
        1
      ],
      [
        ""visual"",
        1
      ],
      [
        ""studio"",
        1
      ],
      [
        ""solution"",
        1
      ],
      [
        ""syst"",
        1
      ],
      [
        ""azure"",
        1
      ],
      [
        ""ainsi"",
        1
      ],
      [
        ""revenus"",
        1
      ],
      [
        ""pass\u00e9s"",
        1
      ],
      [
        ""tant"",
        1
      ],
      [
        ""succ\u00e8de"",
        1
      ],
      [
        ""steve"",
        1
      ],
      [
        ""ballmer"",
        1
      ],
      [
        ""d\u00e9but"",
        1
      ],
      [
        ""mandat"",
        1
      ],
      [
        ""attelle"",
        1
      ],
      [
        ""changement"",
        1
      ],
      [
        ""culture"",
        1
      ],
      [
        ""simplification"",
        1
      ],
      [
        ""processus"",
        1
      ],
      [
        ""ing\u00e9nierie"",
        1
      ],
      [
        ""\u00eatre"",
        1
      ],
      [
        ""r\u00e9actif"",
        1
      ],
      [
        ""suppreation"",
        1
      ],
      [
        ""environ"",
        1
      ],
      [
        ""effectifs"",
        1
      ],
      [
        ""ici"",
        1
      ],
      [
        ""soit"",
        1
      ],
      [
        ""cela"",
        1
      ],
      [
        ""afin"",
        1
      ],
      [
        ""anta"",
        1
      ],
      [
        ""taille"",
        1
      ],
      [
        ""deux"",
        1
      ],
      [
        ""leaders"",
        1
      ],
      [
        ""sonnt"",
        1
      ],
      [
        ""announces"",
        1
      ],
      [
        ""integration"",
        1
      ],
      [
        ""cryptographic"",
        1
      ],
      [
        ""currency"",
        1
      ],
      [
        ""booming"",
        1
      ],
      [
        ""popularity"",
        1
      ],
      [
        ""xbox"",
        1
      ],
      [
        ""platform"",
        1
      ],
      [
        ""console"",
        1
      ],
      [
        ""announced"",
        1
      ],
      [
        ""continue"",
        1
      ],
      [
        ""carefully"",
        1
      ],
      [
        ""monitor"",
        1
      ],
      [
        ""order"",
        1
      ],
      [
        ""projects"",
        1
      ],
      [
        ""claims"",
        1
      ],
      [
        ""interested"",
        1
      ],
      [
        ""fikipedia"",
        1
      ],
      [
        ""put"",
        1
      ],
      [
        ""participated"",
        1
      ],
      [
        ""launching"",
        1
      ],
      [
        ""end"",
        1
      ],
      [
        ""tablets"",
        1
      ],
